subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
math	MA09	グラフ・表	5%の食塩水200gと6%の食塩水300gを混ぜると、濃度は何%になりますか？	"[""5.4%"",""5.5%"",""5.6%"",""5.8%""]"	2	5.6%	面積図で考えます。食塩の合計は(200×0.05)+(300×0.06)=28g。全体の量は500gなので、28÷500=0.056となります。	easy
math	MA09	グラフ・表	5%の食塩水200gと、ある濃度の食塩水300gを混ぜたら5.6%になりました。混ぜた食塩水の濃度は何%ですか？	"[""5.8%"",""6.0%"",""6.2%"",""6.5%""]"	1	6.0%	全体の食塩は500×0.056=28g。5%の食塩水には10g含まれるので、もう一方は28-10=18g。18÷300=0.06です。	normal
math	MA09	グラフ・表	6%の食塩水200gに20%の食塩水を混ぜて15%にするには、20%の食塩水を何g混ぜればよいですか？	"[""300g"",""320g"",""360g"",""400g""]"	2	360g	天びん図で考えます。腕の長さの比は(15-6):(20-15)=9:5。重さ（量）の比は逆比の5:9になるので、200÷5×9=360gです。	normal
math	MA09	グラフ・表	6%の食塩水200gに20%の食塩水360gを混ぜました。できた食塩水の濃度は何%ですか？	"[""13%"",""14%"",""15%"",""16%""]"	2	15%	食塩の合計は(200×0.06)+(360×0.20)=12+72=84g。全体の量は560g。84÷560=0.15、つまり15%です。	normal
math	MA09	グラフ・表	8%の食塩水300gに水を加えて6%にしたいとき、加える水は何gですか？	"[""80g"",""100g"",""120g"",""150g""]"	1	100g	水は0%と考えます。天びんの腕の比は(6-0):(8-6)=6:2=3:1。量の比は逆比の1:3。300gが「3」にあたるので、水は300÷3=100gです。	easy
math	MA09	グラフ・表	8%の食塩水300gに100gの水を加えました。濃度は何%になりますか？	"[""5%"",""6%"",""7%"",""7.5%""]"	1	6%	食塩の量は300×0.08=24g。全体の量は300+100=400g。24÷400=0.06、つまり6%です。	easy
math	MA09	グラフ・表	5人ですると20日かかる仕事があります。最初の5日間は4人で働き、残りを8人ですると、8人で働いたのは何日間ですか？	"[""8日"",""10日"",""12日"",""15日""]"	1	10日	全体の仕事量を5×20=100とします。4人で5日間すると20終わるので、残りは80。これを8人ですると80÷8=10日です。	easy
math	MA09	グラフ・表	5人ですると20日かかる仕事を、最初の5日間は4人で、残りを8人でする場合、全部で何日かかりますか？	"[""10日"",""13日"",""15日"",""20日""]"	2	15日	4人で5日間働き、その後の残りを8人で10日間働きます。よって合計は5+10=15日となります。	normal
math	MA09	グラフ・表	3台で12日かかる仕事があります。最初の6日間は2台で使い、残りを3台ですると、3台で使ったのは何日間ですか？	"[""6日"",""8日"",""10日"",""12日""]"	1	8日	全体の仕事量は3×12=36。2台で6日間すると12終わるので、残りは24。これを3台ですると24÷3=8日です。	normal
math	MA09	グラフ・表	深さ50cmの水そうに、最初はA管のみ、20分後からB管も使って給水します。水深35cmになるのは給水開始から何分後ですか？（グラフ通過点：20分で20cm、30分で50cm）	"[""22分後"",""24分後"",""25分後"",""26分後""]"	2	25分後	20分から30分の10分間で30cm増えています。35cmになるには、20cmからあと15cm増えればよいので、10分×(15/30)=5分。20+5=25分後です。	normal
math	MA09	グラフ・表	給水管A・Bと排水管Cがある水そうのグラフで、Aのみ10分、Bを追加して20分（計30分で48L）入れ、その後Aを閉じCを開けました。水が空になるのは開始から何分後ですか？（相似比利用）	"[""52分後"",""55分後"",""57分後"",""60分後""]"	2	57分後	グラフの相似比から計算します。排水に切り替わってから水がなくなるまでの時間は、計算により開始から57分後と求められます。	hard
math	MA09	グラフ・表	段差のある水そうに毎分3L給水し、31分で満水(93L)になりました。上部の容積が75Lのとき、下部の容積は何Lですか？	"[""15L"",""18L"",""21L"",""24L""]"	1	18L	全体の容積は93L。上部が75Lなので、下部は93-75=18Lとなります。	easy
math	MA09	グラフ・表	下部の容積が18Lの段差のある水そうに、毎分3Lで給水します。下部が満水になるまでにかかる時間は何分ですか？	"[""4分"",""5分"",""6分"",""7分""]"	2	6分	容積18Lを毎分3Lで割ると、18÷3=6分となります。	easy
math	MA09	グラフ・表	底面が30cm×30cm、深さ15cmの下部を持つ水そうに給水したところ、3分で下部がいっぱいになりました。1分あたりの給水量は何Lですか？	"[""3.5L"",""4.0L"",""4.5L"",""5.0L""]"	2	4.5L	容積は30×30×15=13500cm3=13.5L。これを3分で割ると、13.5÷3=4.5L/分となります。	normal
math	MA09	グラフ・表	毎分4.5Lで給水する水そうがあり、3分後から水面の上昇が遅くなりました。この3分間でたまった水の量は何Lですか？	"[""12.5L"",""13.5L"",""14.5L"",""15.5L""]"	1	13.5L	4.5L/分 × 3分 = 13.5Lです。	easy
math	MA09	グラフ・表	底面が20:10の比で仕切られた水そうに給水します。左側が深さ12cmの仕切りまで18分で満たされるとき、右側が12cmまで満たされるのにかかる時間は何分ですか？	"[""6分"",""9分"",""12分"",""18分""]"	1	9分	底面積の比が2:1なので、同じ深さまでたまる時間の比も2:1になります。18÷2=9分です。	normal
math	MA09	グラフ・表	2枚の板で仕切られたア・イ・ウの3つの区画がある容器に、アから一定の速度で水を注ぎます。アが満水に50秒、アとイが満水に125秒かかるとき、アとイの底面積の比はどうなりますか？	"[""2:1"",""3:2"",""5:2"",""5:3""]"	0	2:1	アが50秒、イに流れ始めてからア+イが満水になるまで125-50=75秒。面積比はア:(ア+イ)=50:75=2:3。よってア:イ=2:1です。	hard
