subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
math	MA02	数の性質	2つの整数AとBがあります。Aは80、最大公約数は8、最小公倍数は240です。このとき、もう一方の整数Bはいくつですか？	"[""16"", ""24"", ""32"", ""48""]"	1	24	2つの整数の積（A×B）は、最大公約数と最小公倍数の積と等しくなります。80×B＝8×240 を計算すると、B＝24となります。	easy
math	MA02	数の性質	整数80と整数24の最大公約数が8であるとき、この2つの数の最小公倍数はいくつになりますか？	"[""120"", ""160"", ""240"", ""480""]"	2	240	最小公倍数は、2つの数を最大公約数で割った商（80÷8=10, 24÷8=3）と最大公約数をすべて掛け合わせて求められます。8×10×3＝240です。	easy
math	MA02	数の性質	6で割ると1余り、8で割ると3余る整数のうち、最も小さい数はいくつですか？	"[""11"", ""13"", ""19"", ""21""]"	2	19	「6-1=5」「8-3=5」と、割る数と余りの差がどちらも5で一定です。最小公倍数24から5を引いた「24-5=19」が最小の数です。	normal
math	MA02	数の性質	6で割ると1余り、8で割ると3余る整数のうち、小さい方から数えて3番目の数はいくつですか？	"[""43"", ""62"", ""67"", ""72""]"	2	67	この条件を満たす数は「24の倍数-5」です。3番目は 24×3-5＝72-5＝67 となります。	normal
math	MA02	数の性質	「7/10」と「14/15」のどちらに掛けても、答えが整数になるような分数のうち、最も小さい分数はどれですか？	"[""30/7"", ""15/7"", ""30/14"", ""7/30""]"	0	30/7	掛ける分数をA/Bとすると、Aは分母(10, 15)の最小公倍数30、Bは分子(7, 14)の最大公約数7にするのが、最も小さい分数となります。	normal
math	MA02	数の性質	複数の分数に「ある分数」を掛けて、答えをすべて整数にしたいとき、掛ける分数の「分子」はどうあるべきですか？	"[""元の分数の分子の最大公約数"", ""元の分数の分母の最小公倍数"", ""元の分数の分子の最小公倍数"", ""元の分数の分母の最大公約数""]"	1	元の分数の分母の最小公倍数	分数を掛けて整数にするには、元の分数の「分母」を約分して消す必要があるため、分子は分母たちの公倍数である必要があります。	normal
math	MA02	数の性質	ある整数を6で割った商を、小数第1位で四捨五入すると10になりました。元の整数として考えられる範囲はどれですか？	"[""54以上 60未満"", ""57以上 63未満"", ""57以上 62以下"", ""60以上 66未満""]"	1	57以上 63未満	四捨五入して10になる範囲は 9.5以上 10.5未満です。これを6倍すると、9.5×6＝57、10.5×6＝63 となり、57以上 63未満となります。	normal
math	MA02	数の性質	ある整数を6で割った商を、小数第1位で四捨五入すると10になりました。このような整数のうち、最も大きいものはいくつですか？	"[""60"", ""61"", ""62"", ""63""]"	2	62	範囲は57以上63未満（57〜62.99...）なので、整数の中で最も大きいのは62です。	normal
math	MA02	数の性質	町Aの人数は十の位を四捨五入して34200人、町Bは30900人でした。2つの町の人数の差として考えられる「最小の人数」は何人ですか？	"[""3200人"", ""3201人"", ""3300人"", ""3399人""]"	1	3201人	差が最小になるのは「多い方の最小(34150)ー少ない方の最大(30949)」のときです。34150-30949=3201人となります。	normal
math	MA02	数の性質	町Aの人数は十の位を四捨五入して34200人、町Bは30900人でした。2つの町の人数の差として考えられる「最大の人数」は何人ですか？	"[""3201人"", ""3300人"", ""3399人"", ""3400人""]"	2	3399人	差が最大になるのは「多い方の最大(34249)ー少ない方の最小(30850)」のときです。34249-30850=3399人となります。	normal
math	MA02	数の性質	2つの整数52とYがあります。これらの最大公約数は13、最小公倍数は364です。整数Yはいくつですか？	"[""78"", ""91"", ""104"", ""117""]"	1	91	52を13で割ると4です。最小公倍数364を(13×4)で割ると7になります。よって、Y＝13×7＝91となります。	easy
math	MA02	数の性質	4で割ると2余り、5で割ると3余る整数のうち、2桁（10〜99）で最も大きい数はいくつですか？	"[""93"", ""95"", ""98"", ""99""]"	2	98	「4-2=2」「5-3=2」より、条件を満たす数は「20の倍数-2」です。20×5-2＝98が2桁で最大です。	normal
math	MA02	数の性質	4で割ると2余り、5で割ると3余る整数のうち、最も小さい2桁の数はいくつですか？	"[""12"", ""18"", ""22"", ""38""]"	1	18	条件を満たす数は「20の倍数-2」です。20×1-2＝18が最小の2桁の数です。	normal
