subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
math	MA04	速さ	8km離れたA町とB町から、分速50mの太郎と分速100mの次郎が同時に向かい合って出発しました。2人が出会うのは出発してから何分何秒後？	"[""40分00秒後"", ""53分20秒後"", ""60分40秒後"", ""80分00秒後""]"	1	53分20秒後	8kmを8000mに直し、2人の速さの和（50+100=150m/分）で割ります。8000÷150＝53と1/3分となり、1/3分は20秒です。	easy
math	MA04	速さ	太郎と次郎が8km離れた地点から向かい合って進み、53分20秒後に出会いました。このとき、2人の速さの和は分速何mですか？	"[""120m/分"", ""150m/分"", ""180m/分"", ""200m/分""]"	1	150m/分	出会うまでの速さの和は「距離÷出会うまでの時間」で求めます。8000m ÷ 53.33...分 ＝ 150m/分です。	normal
math	MA04	速さ	周囲480mの池の周りを、兄（分速80m）と弟（分速40m）が同じ地点から反対方向に出発しました。2人が出会うのは何分後？	"[""3分後"", ""4分後"", ""6分後"", ""12分後""]"	1	4分後	池の周りを反対に進む場合、1分間に2人の速さの和（80+40=120m）ずつ近づきます。480÷120＝4分後です。	easy
math	MA04	速さ	兄（分速80m）と弟（分速40m）が池の周りを反対方向に進み、4分後に出会いました。この池の周囲は何mですか？	"[""320m"", ""400m"", ""480m"", ""560m""]"	2	480m	（速さの和）×（出会うまでの時間）で距離が出ます。(80+40)×4＝480mです。	easy
math	MA04	速さ	弟が家を出て10分後に、兄が自転車で追いかけました。弟は分速70m、兄は分速170mです。兄は出発して何分後に追いつく？	"[""5分後"", ""7分後"", ""10分後"", ""14分後""]"	1	7分後	兄が出発する時、弟は70×10＝700m先にいます。1分間に縮まる距離は170-70＝100mなので、700÷100＝7分です。	easy
math	MA04	速さ	弟（分速70m）を兄（分速170m）が追いかけ、兄が出発して7分後に追いつきました。弟が兄より先に家を出ていた時間は何分間？	"[""5分間"", ""8分間"", ""10分間"", ""12分間""]"	2	10分間	兄が走った距離は170×7＝1190m。弟が1190m進むのにかかる時間は1190÷70＝17分。兄より17-7＝10分早く出ていたことになります。	normal
math	MA04	速さ	3.2km離れた家からAとBが向かい合って出発します。Bが7時に出発し、Aは2分遅れて出発しました。Aは分速50m、Bは分速100mのとき、2人が出会うのはAが出発して何分後？	"[""18分後"", ""20分後"", ""22分後"", ""24分後""]"	1	20分後	Aが出発するまでにBは100×2＝200m進んでいます。残りの3000mを2人の速さの和（150m/分）で割ると、3000÷150＝20分です。	normal
math	MA04	速さ	AとBが3.2km離れた地点から向かい合って進みます。Bが分速100mで先に出発し、2分後にAが分速50mで出発しました。Aが出発する瞬間の2人の間の距離は何m？	"[""2800m"", ""3000m"", ""3100m"", ""3200m""]"	1	3000m	最初は3200m離れており、Bが2分間で100×2＝200m進んだので、3200-200＝3000mとなります。	easy
math	MA04	速さ	弟が分速55mで出発した4分後に、兄が分速75mで追いかけました。兄が弟に追いつくのは、兄が出発してから何分後？	"[""10分後"", ""11分後"", ""12分後"", ""15分後""]"	1	11分後	弟の先行距離は55×4＝220m。1分間に縮まる距離は75-55＝20m。220÷20＝11分後です。	easy
math	MA04	速さ	弟（分速55m）が4分先に出発し、兄（分速75m）が追いかけました。2人の速さの差は分速何mですか？	"[""15m/分"", ""20m/分"", ""25m/分"", ""30m/分""]"	1	20m/分	75m/分 - 55m/分 ＝ 20m/分です。これが1分間に縮まる距離になります。	easy
math	MA04	速さ	Aは30分、Bは20分で池を一周します。2人が同じ地点から反対方向に進むとき、最初に出会うのは何分後？	"[""10分"", ""12分"", ""15分"", ""25分""]"	1	12分	池の長さを60（最小公倍数）とすると、Aの速さは2、Bは3。反対方向なら速さの和で割るので、60÷(2+3)＝12分です。	normal
math	MA04	速さ	Aは30分、Bは20分で池を一周します。2人が同じ地点から同じ方向に進むとき、BがAを初めて追いこすのは何分後？	"[""40分"", ""50分"", ""60分"", ""80分""]"	2	60分	池の長さを60とすると速さはA=2、B=3。同じ方向なら速さの差で割るので、60÷(3-2)＝60分です。	normal
math	MA04	速さ	秒速25.2kmのロケットが1分20秒で進む距離を、時速168kmの新幹線が走ると何時間かかる？	"[""8時間"", ""10時間"", ""12時間"", ""15時間""]"	2	12時間	1分20秒は80秒。ロケットの距離は25.2×80＝2016km。新幹線の時間は2016÷168＝12時間です。	normal
math	MA04	速さ	秒速25.2kmのロケットが1分20秒間で進む距離は何kmですか？	"[""1512km"", ""1800km"", ""2016km"", ""2520km""]"	2	2016km	1分20秒＝80秒なので、25.2 × 80 ＝ 2016kmとなります。	easy
math	MA04	速さ	片道6kmの坂道を、行きは時速6km、帰りは時速12kmで往復しました。往復の平均の速さは時速何km？	"[""8km/時"", ""9km/時"", ""10km/時"", ""11km/時""]"	0	8km/時	全距離（6×2=12km）を全時間（行き1時間＋帰り0.5時間＝1.5時間）で割ります。12÷1.5＝8km/時です。	normal
math	MA04	速さ	片道6kmの坂道を、行きは時速6km、帰りは時速12kmで往復したとき、往復にかかった合計時間は何時間？	"[""1.2時間"", ""1.5時間"", ""1.8時間"", ""2.0時間""]"	1	1.5時間	行きは6÷6＝1時間、帰りは6÷12＝0.5時間。合計で1.5時間です。	easy
