subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
soc	SO02	日本地理（産業）	日本の米の収穫量で、第1位と第2位を争う上位2つの都道府県の組み合わせは？	"[""新潟県・北海道"", ""新潟県・秋田県"", ""北海道・山形県"", ""秋田県・宮城県""]"	0	新潟県・北海道	新潟県と北海道は日本を代表する米どころです。東北や北陸は冬の雪が多く、米作りが盛んな地域です。	easy
soc	SO02	日本地理（産業）	東北地方や北陸地方のように、冬の雪の影響で米しか作れない「水田単作地帯」は何と呼ばれますか？	"[""日本の米ぐら"", ""日本の食卓"", ""穀物の王国"", ""米のベルト地帯""]"	0	日本の米ぐら	多くの米を生産し、日本中に供給していることから「日本の米ぐら」と呼ばれています。	easy
soc	SO02	日本地理（産業）	1993年に日本で大規模な冷害が発生した際、米を緊急輸入した代表的な国はどこですか？	"[""タイ"", ""アメリカ"", ""オーストラリア"", ""ベトナム""]"	0	タイ	深刻な米不足（平成の米騒動）が起き、タイなどから細長い形状の米が輸入されました。	normal
soc	SO02	日本地理（産業）	東北地方などで初夏に吹く、冷害の原因となる冷たく湿った北東の風を何といいますか？	"[""やませ"", ""からっ風"", ""六甲おろし"", ""季節風""]"	0	やませ	オホーツク海高気圧から吹き出す「やませ」が長く吹くと、気温が上がらず冷害が発生しやすくなります。	normal
soc	SO02	日本地理（産業）	米の消費量が減り、米が余るようになったため、政府が1970年頃から行った水田を制限する政策は何ですか？	"[""生産調整（減反政策）"", ""食糧管理制度"", ""農地改革"", ""地租改正""]"	0	生産調整（減反政策）	水田を休ませる「休耕」や、他の作物に変える「転作」を促すことで、米の生産量を調節しました。	normal
soc	SO02	日本地理（産業）	米あまりに対応するために行われた「生産調整」において、水田で米以外の作物を育てることを何といいますか？	"[""転作"", ""休耕"", ""二毛作"", ""裏作""]"	0	転作	麦や大豆、野菜など、米以外の別の作物に切り替えて栽培することを転作といいます。	normal
soc	SO02	日本地理（産業）	北海道の石狩平野などで、農業に向かない泥炭地に他の土地の土を運び入れて改良した方法を何といいますか？	"[""客土（きゃくど）"", ""干拓（かんたく）"", ""埋め立て"", ""段々畑""]"	0	客土（きゃくど）	質の悪い土の上に良い土を重ねることで、石狩平野は日本有数の稲作地帯に生まれ変わりました。	normal
soc	SO02	日本地理（産業）	かつて北海道の石狩平野に広がっていた、水分が多く農業に適さなかった土地を何といいますか？	"[""泥炭地"", ""シラス台地"", ""カルスト地形"", ""干拓地""]"	0	泥炭地	植物が完全に腐らずに積み重なった湿地帯を泥炭地と呼び、客土による改良が必要でした。	normal
soc	SO02	日本地理（産業）	東北地方などの水温が低い地域で、冷たい水を日光で温めてから田に入れる工夫を何といいますか？	"[""ぬるめ"", ""温水路"", ""ため池"", ""散水""]"	0	ぬるめ	水路をわざと蛇行させたり、水をとどめたりして、稲の成長を助けるために水温を上げる工夫です。	hard
soc	SO02	日本地理（産業）	稲作技術の「ぬるめ」は、どのような目的で行われる工夫ですか？	"[""冷たい水の温度を上げるため"", ""水の流れを速めるため"", ""害虫を駆除するため"", ""肥料を混ぜやすくするため""]"	0	冷たい水の温度を上げるため	川の冷たい水を直接入れると稲が枯れたり育たなかったりするため、温める必要があります。	hard
soc	SO02	日本地理（産業）	大都市の近くで、新鮮さが求められる野菜などを生産して出荷する農業の形態を何といいますか？	"[""近郊農業"", ""促成栽培"", ""抑制栽培"", ""酪農""]"	0	近郊農業	千葉県や茨城県などが代表的で、消費地に近い利点を活かして新鮮なうちに野菜を届けます。	easy
soc	SO02	日本地理（産業）	近郊農業の主な産地として、正しい都道府県の組み合わせはどれですか？	"[""千葉県・茨城県"", ""北海道・青森県"", ""高知県・宮崎県"", ""長野県・群馬県""]"	0	千葉県・茨城県	東京などの大都市に近い千葉、茨城、埼玉などは近郊農業が非常に盛んです。	normal
soc	SO02	日本地理（産業）	宮崎平野や高知平野で、冬でも暖かい気候を利用して夏野菜を早く育てる方法を何といいますか？	"[""促成栽培"", ""抑制栽培"", ""近郊農業"", ""有機農業""]"	0	促成栽培	ビニールハウスなどを使い、ピーマンやなすなどを旬より早く出荷して高い収益を得る工夫です。	easy
soc	SO02	日本地理（産業）	高知県の「促成栽培」で、主に冬から春にかけて出荷される代表的な野菜はどれですか？	"[""なす・ピーマン"", ""レタス・キャベツ"", ""だいこん・ねぎ"", ""じゃがいも・たまねぎ""]"	0	なす・ピーマン	温暖な気候を活かして、夏野菜を冬の時期に栽培・出荷しています。	normal
soc	SO02	日本地理（産業）	長野県の野辺山原などで、夏の涼しい気候を利用して野菜の出荷時期を遅らせる方法を何といいますか？	"[""抑制栽培"", ""促成栽培"", ""近郊農業"", ""二期作""]"	0	抑制栽培	標高の高い涼しい地域で、他の産地の出荷が終わる夏にキャベツやレタスを出荷します。	normal
soc	SO02	日本地理（産業）	群馬県の嬬恋村や長野県の高原で、抑制栽培によって主に作られている野菜はどれですか？	"[""キャベツ・レタス"", ""トマト・きゅうり"", ""なす・ピーマン"", ""れんこん・ごぼう""]"	0	キャベツ・レタス	これらは「高原野菜」と呼ばれ、夏でも涼しい気候を好む野菜です。	normal
soc	SO02	日本地理（産業）	農産物を収穫後からお店まで、ずっと低い温度に保ったまま運ぶ仕組みを何といいますか？	"[""コールドチェーン"", ""スマート農業"", ""フードマイレージ"", ""産地直送""]"	0	コールドチェーン	保冷トラックや冷蔵倉庫を使い、遠隔地からでも新鮮なまま大都市へ届けられるようになりました。	normal
soc	SO02	日本地理（産業）	「コールドチェーン」が普及したことで、農業にはどのような変化が起きましたか？	"[""遠くの産地から新鮮な野菜が届くようになった"", ""ビニールハウスが不要になった"", ""農薬の使用量が減った"", ""米の消費量が増えた""]"	0	遠くの産地から新鮮な野菜が届くようになった	低温流通体系により、輸送に時間がかかる遠くの産地の競争力が高まりました。	normal
soc	SO02	日本地理（産業）	みかん、かき、うめの生産量が、いずれも日本第1位である都道府県はどこですか？	"[""和歌山県"", ""愛媛県"", ""静岡県"", ""奈良県""]"	0	和歌山県	和歌山県は果樹栽培が非常に盛んで、多くの品目で全国トップクラスの生産量を誇ります。	normal
soc	SO02	日本地理（産業）	和歌山県が日本一の生産量を誇る「みかん」の産地として、他に上位に入る県はどこですか？	"[""愛媛県・静岡県"", ""青森県・長野県"", ""山形県・福島県"", ""山梨県・岡山県""]"	0	愛媛県・静岡県	みかんは温暖な地域で栽培され、和歌山、愛媛、静岡が「三大産地」として有名です。	normal
soc	SO02	日本地理（産業）	涼しい気候を好み、青森県が日本一の生産量を誇る果物は何ですか？	"[""りんご"", ""さくらんぼ"", ""ぶどう"", ""もも""]"	0	りんご	青森県は日本のりんご生産量の半分以上を占めています。第2位は長野県です。	easy
soc	SO02	日本地理（産業）	りんごの生産量において、青森県に次いで全国第2位の都道府県はどこですか？	"[""長野県"", ""山形県"", ""岩手県"", ""北海道""]"	0	長野県	長野県も涼しい気候を活かしたりんご栽培が盛んな地域です。	normal
soc	SO02	日本地理（産業）	日本一の生産量を誇る「さくらんぼ（おうとう）」の主産地はどこですか？	"[""山形県"", ""福島県"", ""青森県"", ""秋田県""]"	0	山形県	山形県は全国のさくらんぼ生産量の大部分を占める圧倒的な産地です。	easy
soc	SO02	日本地理（産業）	山梨県の甲府盆地などで栽培が盛んな、生産量日本一の果物の組み合わせはどれですか？	"[""ぶどう・もも"", ""りんご・なし"", ""みかん・レモン"", ""かき・くり""]"	0	ぶどう・もも	山梨県は水はけのよい扇状地を利用して、ぶどうとももの生産で日本一となっています。	normal
soc	SO02	日本地理（産業）	山梨県で果物栽培が盛んなのは、どのような地形を利用しているからですか？	"[""扇状地"", ""三角州"", ""台地"", ""干拓地""]"	0	扇状地	川が山から盆地に出るところにできる扇状地は、水はけがよいため果樹園に適しています。	normal
soc	SO02	日本地理（産業）	乳牛を飼育して生乳を絞り、バターやチーズなどを作る農業を何といいますか？	"[""酪農"", ""養豚"", ""養鶏"", ""肉牛飼育""]"	0	酪農	北海道の根釧台地や十勝平野などで特に盛んに行われています。	easy
soc	SO02	日本地理（産業）	北海道で酪農が特に盛んな、東部に位置する広大な台地はどこですか？	"[""根釧台地"", ""牧ノ原台地"", ""シラス台地"", ""武蔵野台地""]"	0	根釧台地	根釧台地は夏に霧が発生しやすく涼しいため、稲作よりも乳牛の飼育に適しています。	normal
soc	SO02	日本地理（産業）	九州南部の鹿児島県や宮崎県で、肉牛や豚の飼育が盛んな理由となっている地形は何ですか？	"[""シラス台地"", ""カルスト地形"", ""リアス海岸"", ""砂丘""]"	0	シラス台地	火山灰が積もったシラス台地は水持ちが悪く稲作に不向きなため、畜産業が発達しました。	normal
soc	SO02	日本地理（産業）	鹿児島県が全国トップクラスの飼育数を誇る、肉用若鶏のことを何といいますか？	"[""ブロイラー"", ""レイヤー"", ""地鶏"", ""七面鳥""]"	0	ブロイラー	短期間で大きく育つように改良された肉用の鶏をブロイラーと呼びます。	normal
soc	SO02	日本地理（産業）	日本の畜産業において、とうもろこしなどの「飼料（えさ）」の自給率は約何％ですか？	"[""約25%"", ""約50%"", ""約75%"", ""約90%""]"	0	約25%	日本の畜産は、えさの多くを海外からの輸入に頼っているという課題があります。	hard
soc	SO02	日本地理（産業）	牧ノ原台地などで栽培が盛んな、静岡県が生産量日本一の作物は何ですか？	"[""茶"", ""いぐさ"", ""てんさい"", ""さとうきび""]"	0	茶	静岡県は日本一の茶どころです。第2位は鹿児島県となっています。	easy
soc	SO02	日本地理（産業）	静岡県に次いで、お茶の生産量が日本第2位の都道府県はどこですか？	"[""鹿児島県"", ""三重県"", ""京都府"", ""福岡県""]"	0	鹿児島県	鹿児島県も広大な土地を利用したお茶の生産が非常に盛んです。	normal
soc	SO02	日本地理（産業）	砂糖の原料となる「てんさい（ビート）」の主な産地はどこですか？	"[""北海道"", ""沖縄県"", ""鹿児島県"", ""宮崎県""]"	0	北海道	てんさいは涼しい気候を好むため、日本では北海道だけで栽培されています。	normal
