subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
jp	JP04	漢字・語彙	二つの事柄を並べて、その違いをはっきりさせることで自分の主張を際立たせる手法を何といいますか？	"[""類推"",""対比"",""反復"",""省略""]"	1	対比	筆者は「昔」と「今」など、反対の事柄を並べる「対比」を使って、自分の意見を分かりやすく伝えます。	easy
jp	JP04	漢字・語彙	説明文で「これまでのリーダー」と「これからのリーダー」を比較する構成が使われるとき、この手法を何と呼びますか？	"[""対比"",""引用"",""比喩"",""定義""]"	0	対比	異なる二つのものを比べることで、それぞれの特徴をはっきりさせる手法を「対比」といいます。	easy
jp	JP04	漢字・語彙	説明文の筆者が、読者に伝えようとする内容の性質として、最も適切なものはどれですか？	"[""誰もが知っている常識"",""計算の公式"",""常識とは異なる新しい視点"",""過去の全記録""]"	2	常識とは異なる新しい視点	筆者は読者が「当たり前」と思っていることではなく、「へぇ〜！」と思うような新しい発見を伝えようとします。	easy
jp	JP04	漢字・語彙	筆者が、教科書に載っているような「当たり前のこと」をわざわざ説明文のテーマに選ばないのはなぜですか？	"[""文章が長くなるから"",""読者に新しい発見を伝えるのが目的だから"",""書くのが難しいから"",""データが足りないから""]"	1	読者に新しい発見を伝えるのが目的だから	説明文の目的は、読者がまだ気づいていない新しい視点や考え方を提示することにあります。	normal
jp	JP04	漢字・語彙	説明文において、筆者が自分の主張の後に「具体例（エピソードなど）」を出す主な目的は何ですか？	"[""文章の文字数を増やすため"",""自分の意見に説得力を持たせるため"",""読者を笑わせるため"",""難しい言葉を隠すため""]"	1	自分の意見に説得力を持たせるため	自分の考えを述べるだけでなく、具体的な例を挙げることで、読者が納得しやすくなります。	easy
jp	JP04	漢字・語彙	筆者が自分の意見に「説得力」を持たせたいとき、文章の中に挿入するものは次のうちどれですか？	"[""架空の物語"",""具体例（事例やエピソード）"",""筆者の似顔絵"",""同じ言葉の繰り返し""]"	1	具体例（事例やエピソード）	具体的なエピソードや実際の事例を紹介することで、主張の正しさを裏付けることができます。	easy
jp	JP04	漢字・語彙	複雑な世の中の出来事を「善と悪」「西洋と東洋」のように二つの世界に分けて考える思考法を何といいますか？	"[""一元論"",""三権分立"",""二元論"",""多元論""]"	2	二元論	物事を二つに分けて単純化する考え方を「二元論」といいます。分かりやすい反面、決めつけになる危険もあります。	normal
jp	JP04	漢字・語彙	「二元論」を用いて物事を説明することのメリットとして、正しいものはどれですか？	"[""物事を単純化して分かりやすく伝えられる"",""すべての問題を解決できる"",""データの正確性が増す"",""個性を尊重できる""]"	0	物事を単純化して分かりやすく伝えられる	複雑なことを「AかBか」に分けることで、読者は内容を整理して理解しやすくなります。	normal
jp	JP04	漢字・語彙	コロナ禍をテーマにした文章で、若松英輔氏が提唱する「これからのリーダー像」として正しいものはどれですか？	"[""誰よりも強い力を持つリーダー"",""自らの弱さを受け入れられるリーダー"",""何でも一人で決めるリーダー"",""失敗を絶対に隠すリーダー""]"	1	自らの弱さを受け入れられるリーダー	強がるのではなく、自分の弱さを認めて他者とつながる「弱いリーダー」の重要性が説かれています。	normal
jp	JP04	漢字・語彙	若松英輔『弱さのちから』において、「これからのリーダー」と対比されているのはどのような人物像ですか？	"[""コロナ禍以前の「強い」リーダー"",""話し合いを重視するリーダー"",""若くて元気なリーダー"",""外国語が得意なリーダー""]"	0	コロナ禍以前の「強い」リーダー	かつての「強さ」を誇るリーダー像と、現代に求められる「弱さ」を知るリーダー像が対比されています。	normal
