subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
sci	SC09	人体	口から取り入れた食物を、体内で吸収されやすい小さな物質に分解することを何といいますか？	"[""吸収"",""消化"",""燃焼"",""循環""]"	1	消化	食物を分解するプロセスを「消化」と呼び、分解されたものを体に取り入れることを「吸収」と呼びます。	easy
sci	SC09	人体	消化された養分を、体の中に取り入れるはたらきのことを何といいますか？	"[""排出"",""消化"",""吸収"",""呼吸""]"	2	吸収	消化管で細かく分解された養分が、腸などの壁から血管やリンパ管に入ることを「吸収」といいます。	easy
sci	SC09	人体	唾液や胃液などの消化液に含まれる、食物を分解するはたらきをもつ物質をまとめて何といいますか？	"[""ホルモン"",""消化酵素"",""抗体"",""ヘモグロビン""]"	1	消化酵素	消化酵素は特定の物質を分解する「触媒」としてのはたらきをもち、自らは変化せずに反応を助けます。	normal
sci	SC09	人体	消化酵素がもつ、特定の物質にのみ作用し、自らは変化せずに反応を助ける性質を何といいますか？	"[""酸化"",""還元"",""燃焼"",""触媒""]"	3	触媒	特定の物質にだけ働きかけ、化学反応をスムーズに進める物質のことを「触媒（しょくばい）」といいます。	hard
sci	SC09	人体	唾液（だえき）に含まれる、デンプンを分解する消化酵素の名前は何ですか？	"[""ペプシン"",""アミラーゼ"",""リパーゼ"",""トリプシン""]"	1	アミラーゼ	唾液に含まれるアミラーゼは、デンプンを「糖（麦芽糖）」へと分解する重要な酵素です。	normal
sci	SC09	人体	唾液に含まれる消化酵素「アミラーゼ」は、デンプンを何という物質に分解しますか？	"[""脂肪酸"",""アミノ酸"",""糖（麦芽糖）"",""タンパク質""]"	2	糖（麦芽糖）	アミラーゼは大きなデンプンの分子を、より小さな「糖（麦芽糖）」に分解します。	normal
sci	SC09	人体	「胆汁（たんじゅう）」がつくられる場所はどこですか？	"[""胃"",""胆のう"",""肝臓"",""すい臓""]"	2	肝臓	胆汁は肝臓でつくられ、その後「胆のう」へ送られて蓄えられます。	normal
sci	SC09	人体	肝臓でつくられた胆汁（たんじゅう）を、一時的に蓄えておく袋のような器官は何ですか？	"[""胃"",""胆のう"",""小腸"",""大腸""]"	1	胆のう	胆のうは、肝臓で作られた胆汁を濃縮して蓄えておく役割を担っています。	normal
sci	SC09	人体	胆汁（たんじゅう）には、どのような物質の分解を助けるはたらきがありますか？	"[""デンプン"",""タンパク質"",""脂肪"",""ビタミン""]"	2	脂肪	胆汁自体には消化酵素は含まれませんが、脂肪を水に混ざりやすくして消化を助ける役割があります。	normal
sci	SC09	人体	デンプン、タンパク質、脂肪の「三大栄養素」すべてを分解する酵素を含む消化液は何ですか？	"[""唾液"",""胃液"",""胆汁"",""すい液""]"	3	すい液	すい液は非常に強力な消化液で、三大栄養素のすべてを分解できる酵素が含まれています。	normal
sci	SC09	人体	すい液は、どこの器官に送り出されて消化のはたらきをしますか？	"[""食道"",""胃"",""十二指腸"",""大腸""]"	2	十二指腸	すい臓で作られたすい液は、胃のすぐ次にある「十二指腸（じゅうにしちょう）」へ送り出されます。	hard
