subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
jp	JP05	随筆文読解	随筆文（ずいひつぶん）は、一般的にどのような要素の組み合わせで構成されていますか？	"[""筆者の体験と感想"", ""架空の物語と会話"", ""実験のデータと結果"", ""社会問題と解決策""]"	0	筆者の体験と感想	随筆文は、筆者の「体験（事実）」と、それに対して抱いた「感想や意見」で成り立っています。	easy
jp	JP05	随筆文読解	筆者が実際に体験した事実と、それに対する自分の意見を自由に書いた文章を何といいますか？	"[""随筆文（エッセイ）"", ""説明文"", ""物語文"", ""伝記""]"	0	随筆文（エッセイ）	日常生活などの出来事（体験）をもとに、自分の考え（感想）を述べた文章を随筆文といいます。	easy
jp	JP05	随筆文読解	随筆文を読解する際、何がきっかけでどのような考えに至ったかを捉えることを何といいますか？	"[""因果関係（いんがかんけい）"", ""対比構造（たいひこうぞう）"", ""起承転結"", ""感情移入""]"	0	因果関係（いんがかんけい）	「きっかけ（原因）」と「考え（結果）」のつながりを捉えることが、随筆文読解のポイントです。	normal
jp	JP05	随筆文読解	随筆文において、体験を通じて筆者の内面に生じる新たな認識を何といいますか？	"[""気づき・自己発見"", ""論理的思考"", ""客観的分析"", ""既成概念""]"	0	気づき・自己発見	体験を通して、それまで知らなかった自分や真理に触れることを「気づき」や「自己発見」と呼びます。	normal
jp	JP05	随筆文読解	随筆文の核心となる「気づき」の例として、最も適切なものはどれですか？	"[""自分の至らなさを反省する"", ""新しい漢字を覚える"", ""計算のミスを直す"", ""友達の住所を調べる""]"	0	自分の至らなさを反省する	過去の先入観が間違っていたことに気づき、自分を見つめ直すプロセスが随筆の核心です。	normal
jp	JP05	随筆文読解	論説文が「客観的」であるのに対し、筆者独自の視点が強く反映される随筆文の性質を何といいますか？	"[""主観的（しゅかんてき）"", ""論理的"", ""科学的"", ""普遍的""]"	0	主観的（しゅかんてき）	筆者個人の感覚や独自の視点が反映されるため、随筆文は「主観的」な文章とされます。	normal
jp	JP05	随筆文読解	随筆文の特徴として、「同じ出来事でも筆者によって捉え方が異なる」のはなぜですか？	"[""筆者の主観が反映されるから"", ""筆者が嘘を書いているから"", ""時代背景が違うから"", ""言葉の意味が変化するから""]"	0	筆者の主観が反映されるから	随筆文は筆者特有の感性や価値観が反映される「主観的」な文章であるため、捉え方は人それぞれです。	normal
jp	JP05	随筆文読解	随筆文で、目に見えない微妙な心情を伝えるために、具体的な物に例える技法を何といいますか？	"[""比喩（ひゆ）・象徴表現"", ""倒置法"", ""反復法"", ""体言止め""]"	0	比喩（ひゆ）・象徴表現	抽象的な感情を「黒いトゲ」のように具体的な物に例えてイメージしやすくする工夫です。	normal
jp	JP05	随筆文読解	随筆文で「他人への悪意」を「黒いトゲ」と表現する場合、どのような表現技法が使われていますか？	"[""比喩（ひゆ）"", ""擬音語"", ""対句法"", ""呼びかけ""]"	0	比喩（ひゆ）	感情などの目に見えないものを、形のある物に例えて表現することを比喩といいます。	easy
jp	JP05	随筆文読解	随筆文の主要なテーマの一つで、過去の記憶や故郷を懐かしく思い出す感情を何といいますか？	"[""郷愁（きょうしゅう）"", ""劣等感"", ""優越感"", ""違和感""]"	0	郷愁（きょうしゅう）	失われた風景や過去の自分を懐かしむ感情を「郷愁（ノスタルジー）」と呼びます。	normal
