subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
soc	SO08	公民（政治・憲法）	日本国憲法が掲げている「三つの大きな原則」をすべてまとめたものはどれ？	"[""国民主権・基本的人権の尊重・平和主義"", ""天皇主権・基本的人権の尊重・平和主義"", ""国民主権・生存権の保障・平和主義"", ""国民主権・基本的人権の尊重・国際協調""]"	0	国民主権・基本的人権の尊重・平和主義	日本国憲法は、国民主権、基本的人権の尊重、平和主義の3つを「三大原則」としています。	easy
soc	SO08	公民（政治・憲法）	日本国憲法の原則のうち、「人間が生まれながらに持っている、侵すことのできない権利」を大切にすることを何という？	"[""国民主権"", ""平和主義"", ""基本的人権の尊重"", ""法の支配""]"	2	基本的人権の尊重	人間が人間として尊重され、自由や平等が認められる永久の権利を「基本的人権」といいます。	easy
soc	SO08	公民（政治・憲法）	現在の日本国憲法において、天皇はどのような存在であると定められていますか？	"[""国の主権者"", ""政治の最高責任者"", ""日本国の象徴"", ""統治権の総攬者""]"	2	日本国の象徴	憲法第1条で、天皇は日本国および日本国民統合の「象徴」であり、政治的な権限を持たないとされています。	easy
soc	SO08	公民（政治・憲法）	日本国憲法第1条で、天皇を「日本国の象徴」と定めていますが、その地位は誰の総意に基づくとされていますか？	"[""国会議員"", ""内閣総理大臣"", ""主権の存する国民"", ""最高裁判所裁判官""]"	2	主権の存する国民	天皇の象徴としての地位は、主権を持つ国民全体の意志（総意）に基づいています。	normal
soc	SO08	公民（政治・憲法）	国の政治のあり方を最終的に決定する権限（主権）が国民にあるという原則を何といいますか？	"[""国民主権"", ""平和主義"", ""三権分立"", ""議院内閣制""]"	0	国民主権	大日本帝国憲法では主権は天皇にありましたが、日本国憲法では国民が主役となりました。	easy
soc	SO08	公民（政治・憲法）	大日本帝国憲法と日本国憲法を比べたとき、主権者の変化として正しいものはどれ？	"[""国民から天皇へ"", ""天皇から内閣へ"", ""天皇から国民へ"", ""国民から国会へ""]"	2	天皇から国民へ	戦前の憲法では天皇が主権者でしたが、戦後の日本国憲法では国民が主権者になりました。	easy
soc	SO08	公民（政治・憲法）	日本国憲法第9条で、戦争の放棄や戦力の不保持を定めている原則を何といいますか？	"[""安全保障"", ""平和主義"", ""国際貢献"", ""非核三原則""]"	1	平和主義	第二次世界大戦の反省に基づき、再び戦争をしない決意を示したのが平和主義です。	easy
soc	SO08	公民（政治・憲法）	日本国憲法第9条で認められていない（否定されている）ものは次のうちどれ？	"[""国の交戦権"", ""自衛の権利"", ""平和への願い"", ""国際協力""]"	0	国の交戦権	第9条では、戦争の放棄、戦力の不保持、そして国の交戦権の否認が定められています。	normal
soc	SO08	公民（政治・憲法）	日本国憲法が「公布（国民に広く知らせること）」されたのはいつですか？	"[""1945年8月15日"", ""1946年11月3日"", ""1947年5月3日"", ""1952年4月28日""]"	1	1946年11月3日	1946年11月3日に公布され、この日は現在「文化の日」という祝日になっています。	normal
soc	SO08	公民（政治・憲法）	日本国憲法が「施行（実際に効力を持つこと）」された日はいつですか？	"[""1946年11月3日"", ""1947年1月1日"", ""1947年5月3日"", ""1948年11月3日""]"	2	1947年5月3日	公布から半年後の1947年5月3日に施行されました。この日は「憲法記念日」です。	normal
