subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
soc	SO06	歴史（安土桃山〜江戸）	1573年に足利義昭を京都から追放し、室町幕府を滅ぼした人物は誰？	"[""織田信長"", ""豊臣秀吉"", ""徳川家康"", ""明智光秀""]"	0	織田信長	織田信長は、最後の将軍・足利義昭を追放して室町幕府を終わらせ、天下統一を目指しました。	easy
soc	SO06	歴史（安土桃山〜江戸）	1582年、織田信長が家臣の明智光秀に襲われて自害した事件を何という？	"[""本能寺の変"", ""山崎の戦い"", ""関ヶ原の戦い"", ""桶狭間の戦い""]"	0	本能寺の変	天下統一を目前にした信長は、京都の本能寺で明智光秀の謀反（むほん）により命を落としました。	easy
soc	SO06	歴史（安土桃山〜江戸）	1560年、織田信長が今川義元の大軍を少数の兵で破った戦いは？	"[""長篠の戦い"", ""桶狭間の戦い"", ""賤ヶ岳の戦い"", ""関ヶ原の戦い""]"	1	桶狭間の戦い	この戦いで勝利したことで、尾張の小大名だった信長の名は一躍全国に知れ渡りました。	easy
soc	SO06	歴史（安土桃山〜江戸）	桶狭間の戦いで、織田信長に敗れた駿河（静岡県）の強力な戦国大名は誰？	"[""武田信玄"", ""上杉謙信"", ""今川義元"", ""毛利元就""]"	2	今川義元	今川義元は大軍を率いて尾張に侵攻しましたが、信長の奇襲を受けて敗れました。	normal
soc	SO06	歴史（安土桃山〜江戸）	織田信長が城下町で行った、座の特権を廃止して自由に商売をさせた政策は？	"[""太閤検地"", ""刀狩"", ""楽市・楽座"", ""参勤交代""]"	2	楽市・楽座	「座」という独占組織をなくし、税を免除することで、誰でも自由に商売ができるようにしました。	easy
soc	SO06	歴史（安土桃山〜江戸）	織田信長が「楽市・楽座」を行った主な目的は何？	"[""農業を盛んにするため"", ""キリスト教を広めるため"", ""城下町の経済を活性化させるため"", ""武器を集めるため""]"	2	城下町の経済を活性化させるため	市場の税をなくし、多くの商人を集めることで城下町を繁栄させようとしました。	normal
soc	SO06	歴史（安土桃山〜江戸）	1575年の長篠の戦いで、織田信長が武田氏の騎馬隊を破るために使った武器は？	"[""弓矢"", ""鉄砲"", ""刀"", ""大砲""]"	1	鉄砲	信長は三千丁もの鉄砲を用意し、交代で撃つ新しい戦法で最強の騎馬隊を圧倒しました。	easy
soc	SO06	歴史（安土桃山〜江戸）	1575年に織田・徳川連合軍が武田勝頼を破った戦いを何という？	"[""長篠の戦い"", ""桶狭間の戦い"", ""姉川の戦い"", ""山崎の戦い""]"	0	長篠の戦い	鉄砲隊を効果的に運用し、当時最強といわれた武田の騎馬隊を壊滅させた有名な戦いです。	easy
soc	SO06	歴史（安土桃山〜江戸）	1590年に北条氏を滅ぼし、全国統一を成し遂げた人物は誰？	"[""織田信長"", ""豊臣秀吉"", ""徳川家康"", ""足利尊氏""]"	1	豊臣秀吉	信長亡き後、秀吉は次々とライバルを倒し、ついに関東の北条氏を降して日本を統一しました。	easy
soc	SO06	歴史（安土桃山〜江戸）	豊臣秀吉が就任した、天皇に代わって政治を行う最高位の職は何？	"[""征夷大将軍"", ""太政大臣"", ""関白"", ""執権""]"	2	関白	秀吉は武士として最高位の「関白」や「太政大臣」になり、全国を支配しました。	normal
soc	SO06	歴史（安土桃山〜江戸）	豊臣秀吉が全国で行った、土地の収穫量を「石高」で表した調査を何という？	"[""太閤検地"", ""班田収授法"", ""地租改正"", ""刀狩""]"	0	太閤検地	升の大きさを統一し、全国の田畑のよしあしを調べて収穫量を「石高（こくだか）」で記録しました。	easy
soc	SO06	歴史（安土桃山〜江戸）	太閤検地によって、それまで続いていたどのような制度が完全に消滅した？	"[""封建制度"", ""荘園制度"", ""身分制度"", ""鎖国制度""]"	1	荘園制度	土地の所有者と耕作者がはっきりしたため、複雑な権利関係だった荘園制度がなくなりました。	hard
soc	SO06	歴史（安土桃山〜江戸）	1588年、秀吉が農民から武器を取り上げ、一揆を防ごうとした政策は？	"[""刀狩"", ""人掃令"", ""武家諸法度"", ""五人組""]"	0	刀狩	農民から刀や鉄砲を奪うことで、反乱を防ぎ、農業に専念させようとしました。	easy
soc	SO06	歴史（安土桃山〜江戸）	刀狩や検地によって、武士と農民の身分がはっきり分かれたことを何という？	"[""四民平等"", ""兵農分離"", ""士農工商"", ""幕藩体制""]"	1	兵農分離	武士は城下町に住み、農民は村で農業をするという区別が明確になりました。	normal
soc	SO06	歴史（安土桃山〜江戸）	豊臣秀吉が二度にわたって朝鮮半島に大軍を送った出来事を何という？	"[""文永・弘安の役"", ""文禄・慶長の役"", ""白村江の戦い"", ""応仁の乱""]"	1	文禄・慶長の役	明（中国）への侵攻を目指して朝鮮へ出兵しましたが、激しい抵抗にあい、秀吉の死で撤退しました。	normal
soc	SO06	歴史（安土桃山〜江戸）	朝鮮出兵の際、優れた水軍を率いて日本軍を苦しめた朝鮮の将軍は誰？	"[""李舜臣"", ""金大中"", ""世宗"", ""王建""]"	0	李舜臣	李舜臣（イスンシン）は亀甲船（きっこうせん）などを用いて日本軍の補給路を断ちました。	hard
soc	SO06	歴史（安土桃山〜江戸）	堺の商人出身で、秀吉らに仕えて「わび茶」の作法を大成させた人物は？	"[""雪舟"", ""世阿弥"", ""千利休"", ""菱川師宣""]"	2	千利休	無駄を省き、精神的な深さを重んじる「わび茶」を完成させ、現在の茶道の基礎を作りました。	easy
soc	SO06	歴史（安土桃山〜江戸）	安土城や大坂城のふすまに、金箔を使った豪華な障壁画を描いた絵師は？	"[""葛飾北斎"", ""狩野永徳"", ""歌川広重"", ""尾形光琳""]"	1	狩野永徳	桃山文化を代表する絵師で、『唐獅子図屏風』などのダイナミックな作品が有名です。	normal
soc	SO06	歴史（安土桃山〜江戸）	1600年、徳川家康が石田三成らを破った「天下分け目」の戦いは？	"[""関ヶ原の戦い"", ""山崎の戦い"", ""小牧・長久手の戦い"", ""大坂の陣""]"	0	関ヶ原の戦い	美濃国（岐阜県）で行われたこの戦いに勝利し、家康の全国支配が確実になりました。	easy
soc	SO06	歴史（安土桃山〜江戸）	1603年に江戸幕府を開き、初代征夷大将軍となった人物は誰？	"[""徳川家康"", ""徳川家光"", ""徳川吉宗"", ""徳川慶喜""]"	0	徳川家康	家康は江戸（東京）を拠点に幕府を開き、約260年続く平和な時代の基礎を築きました。	easy
soc	SO06	歴史（安土桃山〜江戸）	幕府が全国を支配し、各地を大名が「藩」として治める政治の仕組みは？	"[""封建制度"", ""幕藩体制"", ""律令制度"", ""中央集権""]"	1	幕藩体制	幕府と藩が協力・分担して全国を統治する、江戸時代特有のシステムです。	normal
soc	SO06	歴史（安土桃山〜江戸）	江戸幕府の大名分類で、関ヶ原の戦いより後に徳川氏に従った大名は？	"[""親藩"", ""譜代大名"", ""外様大名"", ""旗本""]"	2	外様大名	外様（とざま）大名は信頼が低かったため、江戸から遠い場所に配置されました。	normal
soc	SO06	歴史（安土桃山〜江戸）	1615年、大名を統制するために幕府が制定した法律を何という？	"[""御成敗式目"", ""武家諸法度"", ""公事方御定書"", ""十七条の憲法""]"	1	武家諸法度	城の修理や勝手な結婚を禁止するなど、大名の力を抑えるための厳しいきまりです。	normal
soc	SO06	歴史（安土桃山〜江戸）	3代将軍・徳川家光が制度化した、大名を1年おきに江戸に住まわせる制度は？	"[""参勤交代"", ""五人組"", ""検地"", ""目安箱""]"	0	参勤交代	大名に多額の費用を使わせ、家族を人質として江戸に置くことで、反乱を防ぎました。	easy
soc	SO06	歴史（安土桃山〜江戸）	1637年、九州でキリシタンへの弾圧や重税に反対して起きた農民一揆は？	"[""島原・天草一揆"", ""加賀の一向一揆"", ""正長の土一揆"", ""山城の国一揆""]"	0	島原・天草一揆	天草四郎を首領として原城に立てこもりました。この後、幕府は禁教をさらに強めました。	normal
soc	SO06	歴史（安土桃山〜江戸）	江戸幕府がキリスト教の禁止や貿易制限のために行った外交政策を何という？	"[""鎖国"", ""開国"", ""和親条約"", ""遣明船""]"	0	鎖国	1641年にオランダ商館を出島に移して完成。以降、限られた国とのみ交流しました。	easy
soc	SO06	歴史（安土桃山〜江戸）	鎖国の間、オランダや中国（清）との貿易が行われた場所はどこ？	"[""堺"", ""長崎（出島）"", ""博多"", ""横浜""]"	1	長崎（出島）	幕府は長崎の出島に窓口を限定し、貿易の利益を独占するとともにキリスト教を排除しました。	easy
soc	SO06	歴史（安土桃山〜江戸）	江戸時代、農民5戸を1組にして連帯責任を負わせた制度を何という？	"[""五人組"", ""結"", ""座"", ""惣村""]"	0	五人組	年貢の納入や犯罪の防止、キリシタンの監視などを組全体で責任を持たせました。	normal
soc	SO06	歴史（安土桃山〜江戸）	8代将軍・徳川吉宗が行った、幕府の財政を立て直すための改革は？	"[""寛政の改革"", ""天保の改革"", ""享保の改革"", ""慶応の改革""]"	2	享保の改革	質素倹約をすすめ、新田開発や「上げ米の制」などを行って財政再建を目指しました。	easy
soc	SO06	歴史（安土桃山〜江戸）	徳川吉宗が庶民の意見を聞くために、江戸の評定所の前に設置した箱は？	"[""目安箱"", ""千両箱"", ""投書箱"", ""お札箱""]"	0	目安箱	庶民の不満や提案を直接受け付け、小石川養生所（病院）の設置などにつながりました。	easy
soc	SO06	歴史（安土桃山〜江戸）	「米将軍」と呼ばれ、享保の改革で幕府の支配力を一時的に回復させた将軍は？	"[""徳川家康"", ""徳川綱吉"", ""徳川吉宗"", ""徳川家斉""]"	2	徳川吉宗	米の価格調節に力を入れたことから「米将軍」と呼ばれ、財政再建に尽力しました。	normal
soc	SO06	歴史（安土桃山〜江戸）	幕府が直接支配した土地のことを、大名が治める「藩」に対して何という？	"[""天領（幕領）"", ""荘園"", ""知行地"", ""公領""]"	0	天領（幕領）	全国の石高の約4分の1や、金銀山、主要な都市を幕府が直接管理しました。	hard
soc	SO06	歴史（安土桃山〜江戸）	武家諸法度の違反により、大名が領地を没収されることを何という？	"[""改易"", ""転封"", ""減封"", ""隠居""]"	0	改易	幕府は厳しいルールを適用し、多くの大名を取り潰して（改易して）統制を強めました。	hard
soc	SO06	歴史（安土桃山〜江戸）	徳川家光が参勤交代を制度化した際、大名の妻子はどこに住むことが義務付けられた？	"[""自分の領地"", ""京都"", ""江戸"", ""大坂""]"	2	江戸	大名の妻子を江戸に常住させることで、大名が反乱を起こさないための人質としました。	normal
soc	SO06	歴史（安土桃山〜江戸）	島原・天草一揆で、10代半ばの若さで一揆軍のリーダーとなった人物は？	"[""天草四郎"", ""石田三成"", ""真田幸村"", ""由井正雪""]"	0	天草四郎	天草四郎（益田時貞）はカリスマ的な人気で農民たちをまとめましたが、最後は鎮圧されました。	easy
soc	SO06	歴史（安土桃山〜江戸）	「わび茶」を大成させた千利休の出身地は、当時貿易で栄えたどこの都市？	"[""博多"", ""堺"", ""長崎"", ""大津""]"	1	堺	現在の大阪府にある堺は、有力な商人が集まる自由都市として非常に栄えていました。	normal
soc	SO06	歴史（安土桃山〜江戸）	徳川家康が1600年に倒した西軍のリーダー格で、五奉行の一人だったのは？	"[""石田三成"", ""小早川秀秋"", ""直江兼続"", ""島津義弘""]"	0	石田三成	豊臣秀吉の忠実な家臣であった石田三成は、家康に対抗して挙兵しましたが敗れました。	normal
soc	SO06	歴史（安土桃山〜江戸）	織田信長が比叡山延暦寺を焼き討ちにするなど、対立した宗教勢力は何？	"[""キリスト教"", ""仏教（寺社勢力）"", ""神道"", ""儒教""]"	1	仏教（寺社勢力）	信長は政治に介入する大きな力を持っていた寺院や僧兵を厳しく弾圧しました。	normal
soc	SO06	歴史（安土桃山〜江戸）	豊臣秀吉が朝鮮出兵を行った際、最終的に撤退するきっかけとなった出来事は？	"[""明軍に大敗した"", ""秀吉が病死した"", ""日本国内で反乱が起きた"", ""天候が悪化した""]"	1	秀吉が病死した	1598年に秀吉が亡くなると、戦いを続ける理由がなくなり、日本軍は一斉に引き揚げました。	normal
soc	SO06	歴史（安土桃山〜江戸）	徳川吉宗が制定した、裁判の基準となる法律を何という？	"[""武家諸法度"", ""公事方御定書"", ""建武式目"", ""御成敗式目""]"	1	公事方御定書	裁判を公平に行うため、過去の判例をもとにした江戸時代の基本的な裁判基準です。	hard
soc	SO06	歴史（安土桃山〜江戸）	江戸幕府が鎖国中も例外的に交流を認めた「四つの口」に含まれない場所は？	"[""長崎"", ""対馬"", ""松前"", ""京都""]"	3	京都	長崎（オランダ・清）、対馬（朝鮮）、薩摩（琉球）、松前（アイヌ）の4か所が窓口でした。	hard
soc	SO06	歴史（安土桃山〜江戸）	織田信長が1573年に滅ぼした幕府の名称は何？	"[""鎌倉幕府"", ""室町幕府"", ""江戸幕府"", ""平氏政権""]"	1	室町幕府	足利尊氏が開いた室町幕府は、15代将軍・義昭の追放によって幕を閉じました。	easy
soc	SO06	歴史（安土桃山〜江戸）	豊臣秀吉が土地の良し悪しを判断する際に基準とした、統一された「升（ます）」を何という？	"[""京升"", ""江戸升"", ""宣明暦"", ""定規""]"	0	京升	それまでバラバラだった升の大きさを「京升（きょうます）」に統一し、正確な検地を行いました。	hard
soc	SO06	歴史（安土桃山〜江戸）	江戸時代、大名が江戸へ向かう行列にかかる費用は誰が負担した？	"[""幕府"", ""大名自身"", ""領民（農民）"", ""天皇""]"	1	大名自身	参勤交代の莫大な費用は大名の自己負担だったため、藩の財政は非常に苦しくなりました。	normal
soc	SO06	歴史（安土桃山〜江戸）	徳川吉宗が行った「上げ米の制」とはどのような制度？	"[""農民に米を分け与える"", ""大名に米を献上させ、代わりに参勤交代を軽くする"", ""米の輸出を禁止する"", ""米の税金をなくす""]"	1	大名に米を献上させ、代わりに参勤交代を軽くする	幕府の財政難を救うため、一時的に大名から米を出させる代わりに、江戸滞在期間を半分に短縮しました。	hard
soc	SO06	歴史（安土桃山〜江戸）	織田信長が鉄砲隊を使って武田軍を破った戦場にある、馬の突撃を防ぐ柵を何という？	"[""馬防柵"", ""逆茂木"", ""城壁"", ""塹壕""]"	0	馬防柵	長篠の戦いで信長は「馬防柵（ばぼうさく）」を作り、騎馬隊の勢いを止めて鉄砲で狙い撃ちました。	normal
